product_name,category,product_type,brand,review_text,star_rating,price,review_date,sentiment,sentiment_score
BreezeCool Mini,Home Appliances,Air Cooler,BreezeCool,Really good product with only a few minor issues.,4,199.16,2026-06-29,POSITIVE,0.6
PureSkin Cleanser,Beauty & Personal Care,Face Wash,PureSkin,The quality is excellent and the product is easy to use.,5,18.16,2026-02-18,POSITIVE,0.8
Mindful Living,Books,Self Help,BrightMind,"It is useful, although some features could be better.",3,12.61,2026-08-07,NEUTRAL,0.5
BluePeak Jeans,Fashion,Jeans,BluePeak,The product is okay but there is room for improvement.,3,61.55,2026-07-22,NEUTRAL,0.5
DustAway Smart,Home Appliances,Robot Vacuum,DustAway,A good product with useful features.,4,398.24,2026-02-08,POSITIVE,0.7
PowerLift Dumbbells,Sports & Fitness,Dumbbells,PowerLift,Excellent product and works exactly as described.,5,83.6,2026-06-10,POSITIVE,0.7
UltraView 24,Electronics,Monitor,UltraView,A good product with useful features.,4,225.38,2026-08-08,POSITIVE,0.7
StreetMode Hoodie,Fashion,Hoodie,StreetMode,A good product with useful features.,4,54.7,2026-02-01,POSITIVE,0.7
RunMax Trainers,Fashion,Sneakers,RunMax,Decent quality but I expected slightly more.,3,86.06,2026-05-03,NEUTRAL,0.5
The Last Clue,Books,Mystery,StoryHouse,A good product with useful features.,4,18.27,2026-02-28,POSITIVE,0.7
UrbanFlex Sneakers,Fashion,Sneakers,UrbanFlex,Decent quality but I expected slightly more.,3,65.87,2026-05-25,NEUTRAL,0.5
Hidden Truths,Books,Mystery,PageTurner,Decent quality but I expected slightly more.,3,17.79,2026-04-13,NEUTRAL,0.5
FlexPro Yoga Mat,Sports & Fitness,Yoga Mat,FlexPro,Good quality and performs well for the price.,4,30.18,2026-07-07,POSITIVE,0.7
BluePeak Jeans,Fashion,Jeans,BluePeak,The quality is excellent and the product is easy to use.,5,62.25,2026-08-16,POSITIVE,0.8
Beyond the Stars,Books,Science Fiction,Galaxy Press,Poor quality and not worth the money.,1,18.39,2026-03-11,NEGATIVE,0.6
EchoPods Lite,Electronics,Wireless Earbuds,EchoTech,Excellent product and works exactly as described.,5,49.26,2026-05-16,POSITIVE,0.7
The Last Clue,Books,Mystery,StoryHouse,Good quality and performs well for the price.,4,18.03,2026-02-25,POSITIVE,0.7
HairBloom Shampoo,Beauty & Personal Care,Shampoo,HairBloom,"Not bad for the price, but nothing exceptional.",3,16.18,2026-02-13,NEGATIVE,0.7
VisionTab 11,Electronics,Tablet,VisionTech,I am happy with the purchase and would recommend it.,4,293.79,2026-03-06,POSITIVE,0.7
MegaTab S8,Electronics,Tablet,MegaTech,Good quality and performs well for the price.,4,377.11,2026-05-23,POSITIVE,0.7
PowerLift Dumbbells,Sports & Fitness,Dumbbells,PowerLift,"There are some useful features, but several things need improvement.",2,76.34,2026-02-07,NEGATIVE,0.6
EchoPods Lite,Electronics,Wireless Earbuds,EchoTech,"Not bad for the price, but nothing exceptional.",3,48.73,2026-07-27,NEGATIVE,0.7
BrewMaster X2,Home Appliances,Coffee Maker,BrewMaster,Great value for money. I would definitely recommend it.,5,154.27,2026-07-16,POSITIVE,0.9
ViewPlus 27,Electronics,Monitor,ViewPlus,I am very impressed with the quality and performance.,5,265.14,2026-02-21,POSITIVE,0.6
HairBloom Shampoo,Beauty & Personal Care,Shampoo,HairBloom,"Not bad for the price, but nothing exceptional.",3,16.88,2026-07-31,NEGATIVE,0.7
ClassicFit Hoodie,Fashion,Hoodie,ClassicFit,Really good product with only a few minor issues.,4,43.27,2026-05-08,POSITIVE,0.6
PureBrew Coffee Maker,Home Appliances,Coffee Maker,PureBrew,I am very impressed with the quality and performance.,5,128.27,2026-06-19,POSITIVE,0.6
Better Every Day,Books,Self Help,LifeLeaf,The product is okay but there is room for improvement.,3,15.78,2026-03-15,NEUTRAL,0.5
RunMax Trainers,Fashion,Sneakers,RunMax,Good quality and performs well for the price.,4,87.93,2026-04-23,POSITIVE,0.7
FlexPro Yoga Mat,Sports & Fitness,Yoga Mat,FlexPro,Great value for money. I would definitely recommend it.,5,30.7,2026-06-04,POSITIVE,0.9
UrbanFlex Sneakers,Fashion,Sneakers,UrbanFlex,Excellent product and works exactly as described.,5,66.09,2026-08-11,POSITIVE,0.7
FreshMist Body Lotion,Beauty & Personal Care,Body Lotion,FreshMist,"Not bad for the price, but nothing exceptional.",3,11.91,2026-08-16,NEGATIVE,0.7
PureBrew Coffee Maker,Home Appliances,Coffee Maker,PureBrew,I am very impressed with the quality and performance.,5,122.5,2026-03-29,POSITIVE,0.6
BreezeCool Mini,Home Appliances,Air Cooler,BreezeCool,Absolutely satisfied with this purchase.,5,184.11,2026-04-12,POSITIVE,0.6
SoundWave Buds Pro,Electronics,Wireless Earbuds,SoundWave,I had several problems with this product.,1,76.72,2026-01-22,NEGATIVE,0.7
CleanBot Mini,Home Appliances,Robot Vacuum,CleanBot,"Not bad for the price, but nothing exceptional.",3,336.47,2026-08-11,NEGATIVE,0.7
StreetMode Hoodie,Fashion,Hoodie,StreetMode,Absolutely satisfied with this purchase.,5,54.83,2026-05-08,POSITIVE,0.6
SoftGlow Lotion,Beauty & Personal Care,Body Lotion,SoftGlow,I am happy with the purchase and would recommend it.,4,15.42,2026-07-25,POSITIVE,0.7
HydroFit Bottle,Sports & Fitness,Water Bottle,HydroFit,Great value for money. I would definitely recommend it.,5,24.41,2026-05-13,POSITIVE,0.9
ClassicFit Hoodie,Fashion,Hoodie,ClassicFit,Great value for money. I would definitely recommend it.,5,45.1,2026-01-19,POSITIVE,0.9
StreetMode Hoodie,Fashion,Hoodie,StreetMode,I am very impressed with the quality and performance.,5,54.85,2026-08-13,POSITIVE,0.6
VisionTab 11,Electronics,Tablet,VisionTech,Average experience. It works as expected.,3,313.98,2026-05-05,NEUTRAL,0.5
ZenGrip Mat,Sports & Fitness,Yoga Mat,ZenGrip,I am happy with the purchase and would recommend it.,4,34.83,2026-02-19,POSITIVE,0.7
VisionTab 11,Electronics,Tablet,VisionTech,Excellent product and works exactly as described.,5,297.32,2026-03-19,POSITIVE,0.7
HydroFit Bottle,Sports & Fitness,Water Bottle,HydroFit,Great value for money. I would definitely recommend it.,5,25.58,2026-03-03,POSITIVE,0.9
Beyond the Stars,Books,Science Fiction,Galaxy Press,Great value for money. I would definitely recommend it.,5,19.58,2026-07-03,POSITIVE,0.9
GlowCare Face Wash,Beauty & Personal Care,Face Wash,GlowCare,I am not completely satisfied with the purchase.,2,15.5,2026-07-09,NEGATIVE,0.6
The Silent Planet,Books,Science Fiction,Nova Books,Average experience. It works as expected.,3,15.93,2026-02-21,NEUTRAL,0.5
Beyond the Stars,Books,Science Fiction,Galaxy Press,Decent quality but I expected slightly more.,3,19.26,2026-08-10,NEUTRAL,0.5
RunMax Trainers,Fashion,Sneakers,RunMax,Great value for money. I would definitely recommend it.,5,89.12,2026-03-01,POSITIVE,0.9
HairBloom Shampoo,Beauty & Personal Care,Shampoo,HairBloom,Really good product with only a few minor issues.,4,16.65,2026-05-11,POSITIVE,0.6
PureSkin Cleanser,Beauty & Personal Care,Face Wash,PureSkin,A good product with useful features.,4,19.3,2026-06-26,POSITIVE,0.7
ZenGrip Mat,Sports & Fitness,Yoga Mat,ZenGrip,Very disappointing purchase and poor performance.,1,36.44,2026-01-31,NEGATIVE,0.8
Better Every Day,Books,Self Help,LifeLeaf,Decent quality but I expected slightly more.,3,15.4,2026-01-18,NEUTRAL,0.5
SilkTouch Shampoo,Beauty & Personal Care,Shampoo,SilkTouch,Very disappointing purchase and poor performance.,1,12.91,2026-01-03,NEGATIVE,0.8
Everyday Denim,Fashion,Jeans,Everyday,Absolutely satisfied with this purchase.,5,58.63,2026-08-11,POSITIVE,0.6
Mindful Living,Books,Self Help,BrightMind,"It is useful, although some features could be better.",3,13.11,2026-07-05,NEUTRAL,0.5
SoundWave Buds Pro,Electronics,Wireless Earbuds,SoundWave,I am happy with the purchase and would recommend it.,4,76.79,2026-05-12,POSITIVE,0.7
Better Every Day,Books,Self Help,LifeLeaf,Great value for money. I would definitely recommend it.,5,15.11,2026-02-16,POSITIVE,0.9
BrewMaster X2,Home Appliances,Coffee Maker,BrewMaster,Excellent product and works exactly as described.,5,157.2,2026-06-21,POSITIVE,0.7
Better Every Day,Books,Self Help,LifeLeaf,"It is useful, although some features could be better.",3,14.77,2026-05-20,NEUTRAL,0.5
StreetMode Hoodie,Fashion,Hoodie,StreetMode,"There are some useful features, but several things need improvement.",2,52.41,2026-01-02,NEGATIVE,0.6
GlowCare Face Wash,Beauty & Personal Care,Face Wash,GlowCare,Excellent product and works exactly as described.,5,14.15,2026-03-30,POSITIVE,0.7
ZenGrip Mat,Sports & Fitness,Yoga Mat,ZenGrip,Good quality and performs well for the price.,4,35.83,2026-01-30,POSITIVE,0.7
StreetMode Hoodie,Fashion,Hoodie,StreetMode,Excellent product and works exactly as described.,5,56.28,2026-03-31,POSITIVE,0.7
Mindful Living,Books,Self Help,BrightMind,Good quality and performs well for the price.,4,13.59,2026-07-13,POSITIVE,0.7
BrewMaster X2,Home Appliances,Coffee Maker,BrewMaster,The quality is excellent and the product is easy to use.,5,154.6,2026-07-30,POSITIVE,0.8
EchoPods Lite,Electronics,Wireless Earbuds,EchoTech,The quality is excellent and the product is easy to use.,5,47.28,2026-05-09,POSITIVE,0.8
BrewMaster X2,Home Appliances,Coffee Maker,BrewMaster,The quality is excellent and the product is easy to use.,5,157.83,2026-01-14,POSITIVE,0.8
Beyond the Stars,Books,Science Fiction,Galaxy Press,A good product with useful features.,4,18.22,2026-04-23,POSITIVE,0.7
HairBloom Shampoo,Beauty & Personal Care,Shampoo,HairBloom,Good quality and performs well for the price.,4,17.78,2026-04-04,POSITIVE,0.7
CoolAir Pro,Home Appliances,Air Cooler,CoolAir,"It is useful, although some features could be better.",3,221.56,2026-01-20,NEUTRAL,0.5
CoolAir Pro,Home Appliances,Air Cooler,CoolAir,Average experience. It works as expected.,3,226.9,2026-07-02,NEUTRAL,0.5
SoundWave Buds Pro,Electronics,Wireless Earbuds,SoundWave,"The product works, but I noticed several problems.",2,76.59,2026-02-01,NEGATIVE,0.7
SoundWave Buds Pro,Electronics,Wireless Earbuds,SoundWave,I am very impressed with the quality and performance.,5,81.53,2026-02-07,POSITIVE,0.6
CoolAir Pro,Home Appliances,Air Cooler,CoolAir,Absolutely satisfied with this purchase.,5,240.6,2026-01-15,POSITIVE,0.6
PureSkin Cleanser,Beauty & Personal Care,Face Wash,PureSkin,Absolutely satisfied with this purchase.,5,19.01,2026-04-17,POSITIVE,0.6
CoolAir Pro,Home Appliances,Air Cooler,CoolAir,Really good product with only a few minor issues.,4,238.29,2026-05-03,POSITIVE,0.6
FreshMist Body Lotion,Beauty & Personal Care,Body Lotion,FreshMist,Excellent product and works exactly as described.,5,11.68,2026-01-05,POSITIVE,0.7
BluePeak Jeans,Fashion,Jeans,BluePeak,Quality could be much better for this price.,2,66.81,2026-06-16,NEGATIVE,0.6
Mindful Living,Books,Self Help,BrightMind,"There are some useful features, but several things need improvement.",2,12.59,2026-08-09,NEGATIVE,0.6
IronCore Dumbbells,Sports & Fitness,Dumbbells,IronCore,Decent quality but I expected slightly more.,3,103.37,2026-01-20,NEUTRAL,0.5
Hidden Truths,Books,Mystery,PageTurner,I am happy with the purchase and would recommend it.,4,16.6,2026-05-01,POSITIVE,0.7
CleanBot Mini,Home Appliances,Robot Vacuum,CleanBot,Good quality and performs well for the price.,4,354.16,2026-01-12,POSITIVE,0.7
ViewPlus 27,Electronics,Monitor,ViewPlus,"There are some useful features, but several things need improvement.",2,291.62,2026-01-03,NEGATIVE,0.6
SprintRun Bottle,Sports & Fitness,Water Bottle,SprintRun,"Not bad for the price, but nothing exceptional.",3,19.7,2026-07-23,NEGATIVE,0.7
FreshMist Body Lotion,Beauty & Personal Care,Body Lotion,FreshMist,Absolutely satisfied with this purchase.,5,11.94,2026-08-09,POSITIVE,0.6
FlexPro Yoga Mat,Sports & Fitness,Yoga Mat,FlexPro,"It is useful, although some features could be better.",3,28.43,2026-05-21,NEUTRAL,0.5
PureBrew Coffee Maker,Home Appliances,Coffee Maker,PureBrew,Excellent product and works exactly as described.,5,136.06,2026-06-07,POSITIVE,0.7
MegaTab S8,Electronics,Tablet,MegaTech,Good quality and performs well for the price.,4,395.46,2026-03-27,POSITIVE,0.7
RunMax Trainers,Fashion,Sneakers,RunMax,Excellent product and works exactly as described.,5,89.25,2026-03-13,POSITIVE,0.7
Everyday Denim,Fashion,Jeans,Everyday,Average experience. It works as expected.,3,61.03,2026-05-17,NEUTRAL,0.5
BluePeak Jeans,Fashion,Jeans,BluePeak,Excellent product and works exactly as described.,5,65.15,2026-07-24,POSITIVE,0.7
HydroFit Bottle,Sports & Fitness,Water Bottle,HydroFit,The product did not work as expected.,1,25.44,2026-01-29,NEGATIVE,0.6
Hidden Truths,Books,Mystery,PageTurner,The quality is excellent and the product is easy to use.,5,17.65,2026-05-13,POSITIVE,0.8
SilkTouch Shampoo,Beauty & Personal Care,Shampoo,SilkTouch,Absolutely satisfied with this purchase.,5,13.58,2026-01-27,POSITIVE,0.6
PureBrew Coffee Maker,Home Appliances,Coffee Maker,PureBrew,Average experience. It works as expected.,3,127.16,2026-06-05,NEUTRAL,0.5
The Silent Planet,Books,Science Fiction,Nova Books,Really good product with only a few minor issues.,4,16.92,2026-01-10,POSITIVE,0.6
UltraView 24,Electronics,Monitor,UltraView,"It is useful, although some features could be better.",3,209.16,2026-04-11,NEUTRAL,0.5
CleanBot Mini,Home Appliances,Robot Vacuum,CleanBot,"There are some useful features, but several things need improvement.",2,334.38,2026-02-15,NEGATIVE,0.6
StreetMode Hoodie,Fashion,Hoodie,StreetMode,Very disappointing purchase and poor performance.,1,54.08,2026-07-17,NEGATIVE,0.8
BluePeak Jeans,Fashion,Jeans,BluePeak,I am happy with the purchase and would recommend it.,4,67.57,2026-02-12,POSITIVE,0.7
The Silent Planet,Books,Science Fiction,Nova Books,I am happy with the purchase and would recommend it.,4,16.5,2026-01-29,POSITIVE,0.7
MegaTab S8,Electronics,Tablet,MegaTech,Really good product with only a few minor issues.,4,356.53,2026-01-25,POSITIVE,0.6
PureBrew Coffee Maker,Home Appliances,Coffee Maker,PureBrew,"It is useful, although some features could be better.",3,125.65,2026-05-31,NEUTRAL,0.5
BluePeak Jeans,Fashion,Jeans,BluePeak,I am happy with the purchase and would recommend it.,4,63.78,2026-06-11,POSITIVE,0.7
IronCore Dumbbells,Sports & Fitness,Dumbbells,IronCore,Average experience. It works as expected.,3,99.09,2026-05-15,NEUTRAL,0.5
SoftGlow Lotion,Beauty & Personal Care,Body Lotion,SoftGlow,Average experience. It works as expected.,3,15.13,2026-07-21,NEUTRAL,0.5
SprintRun Bottle,Sports & Fitness,Water Bottle,SprintRun,"There are some useful features, but several things need improvement.",2,19.94,2026-01-16,NEGATIVE,0.6
FreshMist Body Lotion,Beauty & Personal Care,Body Lotion,FreshMist,Average experience. It works as expected.,3,12.03,2026-05-24,NEUTRAL,0.5
PureSkin Cleanser,Beauty & Personal Care,Face Wash,PureSkin,I am very impressed with the quality and performance.,5,19.77,2026-02-21,POSITIVE,0.6
SoftGlow Lotion,Beauty & Personal Care,Body Lotion,SoftGlow,Excellent product and works exactly as described.,5,16.87,2026-08-15,POSITIVE,0.7
HairBloom Shampoo,Beauty & Personal Care,Shampoo,HairBloom,Good quality and performs well for the price.,4,17.37,2026-07-22,POSITIVE,0.7
IronCore Dumbbells,Sports & Fitness,Dumbbells,IronCore,Absolutely satisfied with this purchase.,5,103.45,2026-08-08,POSITIVE,0.6
HydroFit Bottle,Sports & Fitness,Water Bottle,HydroFit,Good quality and performs well for the price.,4,23.53,2026-06-12,POSITIVE,0.7
CoolAir Pro,Home Appliances,Air Cooler,CoolAir,I am very impressed with the quality and performance.,5,218.83,2026-05-04,POSITIVE,0.6
SoftGlow Lotion,Beauty & Personal Care,Body Lotion,SoftGlow,I am happy with the purchase and would recommend it.,4,16.17,2026-04-06,POSITIVE,0.7
CleanBot Mini,Home Appliances,Robot Vacuum,CleanBot,I had several problems with this product.,1,356.01,2026-07-17,NEGATIVE,0.7
CleanBot Mini,Home Appliances,Robot Vacuum,CleanBot,Average experience. It works as expected.,3,345.67,2026-08-08,NEUTRAL,0.5
HydroFit Bottle,Sports & Fitness,Water Bottle,HydroFit,"The product works, but I noticed several problems.",2,25.2,2026-02-15,NEGATIVE,0.7
UltraView 24,Electronics,Monitor,UltraView,The product is okay but there is room for improvement.,3,216.55,2026-06-02,NEUTRAL,0.5
BrewMaster X2,Home Appliances,Coffee Maker,BrewMaster,"It is useful, although some features could be better.",3,150.85,2026-04-03,NEUTRAL,0.5
DustAway Smart,Home Appliances,Robot Vacuum,DustAway,Absolutely satisfied with this purchase.,5,383.21,2026-06-29,POSITIVE,0.6
PureBrew Coffee Maker,Home Appliances,Coffee Maker,PureBrew,"It is useful, although some features could be better.",3,128.29,2026-01-17,NEUTRAL,0.5
UrbanFlex Sneakers,Fashion,Sneakers,UrbanFlex,Decent quality but I expected slightly more.,3,67.24,2026-05-07,NEUTRAL,0.5
ClassicFit Hoodie,Fashion,Hoodie,ClassicFit,The product did not work as expected.,1,44.48,2026-07-06,NEGATIVE,0.6
Everyday Denim,Fashion,Jeans,Everyday,"There are some useful features, but several things need improvement.",2,57.71,2026-02-21,NEGATIVE,0.6
UrbanFlex Sneakers,Fashion,Sneakers,UrbanFlex,The quality is excellent and the product is easy to use.,5,68.19,2026-06-10,POSITIVE,0.8
VisionTab 11,Electronics,Tablet,VisionTech,Absolutely satisfied with this purchase.,5,306.76,2026-05-16,POSITIVE,0.6
MegaTab S8,Electronics,Tablet,MegaTech,Good quality and performs well for the price.,4,371.22,2026-04-23,POSITIVE,0.7
Everyday Denim,Fashion,Jeans,Everyday,"It is useful, although some features could be better.",3,56.88,2026-05-06,NEUTRAL,0.5
UltraView 24,Electronics,Monitor,UltraView,"Not bad for the price, but nothing exceptional.",3,209.23,2026-06-02,NEGATIVE,0.7
RunMax Trainers,Fashion,Sneakers,RunMax,I am happy with the purchase and would recommend it.,4,92.32,2026-05-27,POSITIVE,0.7
Beyond the Stars,Books,Science Fiction,Galaxy Press,Works very well and feels durable.,4,18.04,2026-03-29,POSITIVE,0.6
SilkTouch Shampoo,Beauty & Personal Care,Shampoo,SilkTouch,I am very impressed with the quality and performance.,5,13.63,2026-01-14,POSITIVE,0.6
FreshMist Body Lotion,Beauty & Personal Care,Body Lotion,FreshMist,Absolutely satisfied with this purchase.,5,12.22,2026-02-02,POSITIVE,0.6
PureBrew Coffee Maker,Home Appliances,Coffee Maker,PureBrew,A good product with useful features.,4,129.52,2026-02-15,POSITIVE,0.7
FreshMist Body Lotion,Beauty & Personal Care,Body Lotion,FreshMist,I am not completely satisfied with the purchase.,2,11.31,2026-02-16,NEGATIVE,0.6
Everyday Denim,Fashion,Jeans,Everyday,Decent quality but I expected slightly more.,3,60.35,2026-02-12,NEUTRAL,0.5
DustAway Smart,Home Appliances,Robot Vacuum,DustAway,Good quality and performs well for the price.,4,398.4,2026-07-26,POSITIVE,0.7
SoftGlow Lotion,Beauty & Personal Care,Body Lotion,SoftGlow,I expected better performance from this product.,2,15.86,2026-03-23,NEGATIVE,0.6
PowerLift Dumbbells,Sports & Fitness,Dumbbells,PowerLift,Decent quality but I expected slightly more.,3,76.06,2026-02-09,NEUTRAL,0.5
ClassicFit Hoodie,Fashion,Hoodie,ClassicFit,"It is useful, although some features could be better.",3,45.9,2026-04-01,NEUTRAL,0.5
ClassicFit Hoodie,Fashion,Hoodie,ClassicFit,Average experience. It works as expected.,3,46.45,2026-07-10,NEUTRAL,0.5
SilkTouch Shampoo,Beauty & Personal Care,Shampoo,SilkTouch,I am very impressed with the quality and performance.,5,12.85,2026-05-05,POSITIVE,0.6
DustAway Smart,Home Appliances,Robot Vacuum,DustAway,"Not bad for the price, but nothing exceptional.",3,404.41,2026-07-25,NEGATIVE,0.7
SilkTouch Shampoo,Beauty & Personal Care,Shampoo,SilkTouch,A good product with useful features.,4,13.42,2026-07-27,POSITIVE,0.7
DustAway Smart,Home Appliances,Robot Vacuum,DustAway,"Not bad for the price, but nothing exceptional.",3,393.96,2026-05-25,NEGATIVE,0.7
CleanBot Mini,Home Appliances,Robot Vacuum,CleanBot,Works very well and feels durable.,4,328.33,2026-04-29,POSITIVE,0.6
The Silent Planet,Books,Science Fiction,Nova Books,"Not bad for the price, but nothing exceptional.",3,15.91,2026-05-26,NEGATIVE,0.7
PureSkin Cleanser,Beauty & Personal Care,Face Wash,PureSkin,Decent quality but I expected slightly more.,3,18.39,2026-01-22,NEUTRAL,0.5
SprintRun Bottle,Sports & Fitness,Water Bottle,SprintRun,Absolutely satisfied with this purchase.,5,20.1,2026-07-11,POSITIVE,0.6
Everyday Denim,Fashion,Jeans,Everyday,Really good product with only a few minor issues.,4,59.02,2026-05-27,POSITIVE,0.6
GlowCare Face Wash,Beauty & Personal Care,Face Wash,GlowCare,"Not bad for the price, but nothing exceptional.",3,15.86,2026-06-13,NEGATIVE,0.7
BreezeCool Mini,Home Appliances,Air Cooler,BreezeCool,I am not completely satisfied with the purchase.,2,194.05,2026-01-12,NEGATIVE,0.6
ZenGrip Mat,Sports & Fitness,Yoga Mat,ZenGrip,Good quality and performs well for the price.,4,33.48,2026-05-24,POSITIVE,0.7
BluePeak Jeans,Fashion,Jeans,BluePeak,I am not completely satisfied with the purchase.,2,66.42,2026-01-02,NEGATIVE,0.6
UltraView 24,Electronics,Monitor,UltraView,The product did not work as expected.,1,207.39,2026-06-11,NEGATIVE,0.6
Hidden Truths,Books,Mystery,PageTurner,"It is useful, although some features could be better.",3,16.62,2026-05-27,NEUTRAL,0.5
BreezeCool Mini,Home Appliances,Air Cooler,BreezeCool,Absolutely satisfied with this purchase.,5,197.19,2026-07-30,POSITIVE,0.6
SoundWave Buds Pro,Electronics,Wireless Earbuds,SoundWave,Good quality and performs well for the price.,4,83.91,2026-05-19,POSITIVE,0.7
The Silent Planet,Books,Science Fiction,Nova Books,Absolutely satisfied with this purchase.,5,15.12,2026-01-16,POSITIVE,0.6
The Last Clue,Books,Mystery,StoryHouse,Excellent product and works exactly as described.,5,17.81,2026-02-09,POSITIVE,0.7
CleanBot Mini,Home Appliances,Robot Vacuum,CleanBot,Quality could be much better for this price.,2,347.41,2026-07-07,NEGATIVE,0.6
The Last Clue,Books,Mystery,StoryHouse,I am very impressed with the quality and performance.,5,17.46,2026-07-30,POSITIVE,0.6
VisionTab 11,Electronics,Tablet,VisionTech,"It is useful, although some features could be better.",3,310.32,2026-08-05,NEUTRAL,0.5
BreezeCool Mini,Home Appliances,Air Cooler,BreezeCool,I would not recommend this product.,1,189.76,2026-01-12,POSITIVE,0.7
EchoPods Lite,Electronics,Wireless Earbuds,EchoTech,The quality is excellent and the product is easy to use.,5,50.69,2026-03-09,POSITIVE,0.8
VisionTab 11,Electronics,Tablet,VisionTech,I am happy with the purchase and would recommend it.,4,299.47,2026-06-10,POSITIVE,0.7
Beyond the Stars,Books,Science Fiction,Galaxy Press,Quality could be much better for this price.,2,19.98,2026-06-12,NEGATIVE,0.6
ViewPlus 27,Electronics,Monitor,ViewPlus,Really good product with only a few minor issues.,4,294.0,2026-02-16,POSITIVE,0.6
SoundWave Buds Pro,Electronics,Wireless Earbuds,SoundWave,"The product works, but I noticed several problems.",2,76.94,2026-05-03,NEGATIVE,0.7
PowerLift Dumbbells,Sports & Fitness,Dumbbells,PowerLift,Absolutely satisfied with this purchase.,5,82.52,2026-03-20,POSITIVE,0.6
BrewMaster X2,Home Appliances,Coffee Maker,BrewMaster,I am happy with the purchase and would recommend it.,4,153.5,2026-06-16,POSITIVE,0.7
UrbanFlex Sneakers,Fashion,Sneakers,UrbanFlex,I expected better performance from this product.,2,70.01,2026-02-20,NEGATIVE,0.6
SprintRun Bottle,Sports & Fitness,Water Bottle,SprintRun,Great value for money. I would definitely recommend it.,5,19.38,2026-03-13,POSITIVE,0.9
IronCore Dumbbells,Sports & Fitness,Dumbbells,IronCore,I am happy with the purchase and would recommend it.,4,96.2,2026-02-17,POSITIVE,0.7
SilkTouch Shampoo,Beauty & Personal Care,Shampoo,SilkTouch,Quality could be much better for this price.,2,13.16,2026-06-13,NEGATIVE,0.6
PowerLift Dumbbells,Sports & Fitness,Dumbbells,PowerLift,"Not bad for the price, but nothing exceptional.",3,75.78,2026-01-25,NEGATIVE,0.7
BreezeCool Mini,Home Appliances,Air Cooler,BreezeCool,Great value for money. I would definitely recommend it.,5,192.74,2026-08-14,POSITIVE,0.9
Better Every Day,Books,Self Help,LifeLeaf,Quality could be much better for this price.,2,15.48,2026-05-29,NEGATIVE,0.6
SilkTouch Shampoo,Beauty & Personal Care,Shampoo,SilkTouch,I am very impressed with the quality and performance.,5,13.02,2026-03-15,POSITIVE,0.6
